Phrase en Anglais;Phrases en français
I see that you have made up your mind...;
I was certain that you had the potential to face the hardships I presented you, but I guess even an experienced eye such as my own can sometimes be clouded.${prompt};
I am sure that you have your reasons for this decision and I will not stop you from what you have decided in your heart. You may now return the ${keyitem-singular: 1[2]} that I entrusted to you.${prompt};
I will leave you with the disposal of the ${item-singular: 0[2]}. It has already lost its power and is no longer of any use to me.${prompt};
You accepted this quest with the intention of completing it, did you not? If you have the time to be playing tricks on a feeble, old man, you should be out on the battlefield improving your techniques!${prompt};
I can still feel energy running through this blade. This can only mean one thing--it still has not accepted your ability. The road to mastery is long. One cannot expect to reach one's goal in such a short period of time.${prompt};
Wonderful! You are now ready for the final portion of your journey. Travel to the place inscribed upon this ${keyitem-singular: 0[2]}--the Kuftal Tunnel. There you will meet your final test.${prompt};
Travel to the Kuftal Tunnel, as is instructed upon the ${keyitem-singular: 0[2]} I gave you. There you will realize what you are to do.${prompt};
The ${keyitem-singular: 0[2]}! So, you have finally completed this leg of your journey...;
You are now ready to begin anew with your new techniques.${prompt};
You have learned the weapon skill â€œTachi: Kashaâ€!${prompt};
Well, look at you. I'm glad to see you realize that being a ninja isn't all about casting spells and throwing stars. But there's still one technique that's left for only the best of the best.${prompt};
You've learned to wield your katana by risking your life and limb out there on the battlefield.${prompt};
Learning this final technique will be no different. You'll have to get out there in the jungle and bust your butt like you never have before. Do you think you've got what it takes?${prompt};
Hah! You may be shaking your head now, but I know your type. You won't be satisfied until you reach the top. You'll be back...and I'll be waiting.${prompt};
I knew that you couldn't resist the challenge, but saying you're going to do something is a helluva lot easier than actually going out and doing it. If you don't think you're going to succeed, then you shouldn't even bother trying in the first place!${prompt};
Here, take this ${item-singular: 0[2]}.${prompt};
Use that katana to deal as much damage as possible. When you've acquired enough skill, the ${item-singular: 0[2]} will recognize your power and its power will fade.${prompt};
When that happens, bring her back here to me.${prompt};
But don't think that's the end of your trial. Something much more exciting will be waiting for you when you get back, if you know what I mean. Heh heh heh.${prompt};
When you've acquired enough skill, the ${item-singular: 0[2]} will recognize your might and then its power will fade.${prompt};
What the hell do you want? You're not done already, are you?${prompt};
Well, if that's all, then get the hell out of this cave and back out there on the battlefield!${prompt};
You lost the ${item-singular: 0[2]}!?${prompt};
Idiot! You had the perfect chance to learn a deadly new technique, and you've thrown it away! I've seen crabs with more brains than you. Get out of my face!${prompt};
Ha ha ha. I had you going there, didn't I? While I won't commend you on your stupidity, I will give you one more chance. But you screw up again and I'll...${prompt};
Quit? Did you whack your head on the grotto ceiling when you came in? You're not really thinking of giving up now, are you?${prompt};
Unbelievable. I thought that you had more in you than that...;
Well, you can hand me back the ${keyitem-singular: 1[2]} I gave you.${prompt};
As for that ${item-singular: 0[2]}, it's nothing but a piece of junk now. Sell it, throw it away, I could give a damn what you do with it.${prompt};
If that was supposed to be funny, then don't go quitting your day job.;
This isn't a game, ${name-player}. Now get back to your training!${prompt};
Don't tell me you think that you've trained enough. Get your feet out of your ears and take a closer listen to the blade. It'll tell you when it's time to come back.${prompt};
Well, it's about time.;
I never had any doubt in you, ${name-player}.${prompt};
Now take this ${keyitem-singular: 0[2]} and head for the Labyrinth of Onzozo.;
It won't be a cakewalk, but I bet you already knew that.${prompt};
Don't make me repeat myself! You know what you have to do down there in the Labyrinth of Onzozo. Now get off your butt and do it!${prompt};
Well, what do you know! If you could whip that monster, you should have no problem using any of the deadly katana techniques. I'd take off my hat to you...if I wore one. Ha ha ha.${prompt};
You have learned the weapon skill â€œBlade: Kuâ€!${prompt};
Accept the challenge?;
${selection-lines};
Of course!;
Not just yet.${prompt};
Why are you here?;
${selection-lines};
No particular reason.;
I've lost the ${item-singular: 0[2]}.;
I want to quit this quest.${prompt};
Do you really want to quit?;
${selection-lines};
Yes.;
No.${prompt};
You obtain the weapon ${item-singular: 0[2]} and the key item ${keyitem-article: 1[2]}.${prompt};
æ­¦å™¨ã‚¹ã‚­ãƒ«ãŒè¶³ã‚Šãªã„ã®ã§ã‚¹ãƒ«ãƒ¼${prompt};
Rare goodieth and obthcure odditieth from around the globe can be found in thith treasure trove we call Norg. However, I have thtill yet to come acroth itemth thcrumptiouth enough for my exthperimentth...${prompt};
Oh, I forgot to introduthe mythelf. I'm Mamaulabion, but my friendth call me Mama. I'm thtudying thynthethith theory.${prompt};
I've been thearching Vana'diel up and down, inthide and out for jutht the right itemth. Thethe dayth, you can find almotht anything up on auction, but what I'm looking for ith a little different. A little more, how would you thay, rithqueÃ©. That'th why I've come to Norg.${prompt};
Travelerth from all over the world path through here everyday, bringing with them taleth of all the wonderouth itemth they have come acroth--itemth that would be perfect for my exthperimenth! Tee-hee-hee!${prompt};
Why, jutht by looking at your juithy muthleth, I can tell you are one hardened adventurer. That'th why I want to athk for your help.${prompt};
"If it ithn't too much trouble, I'd like you to bring me thome rare itemth. You can take ath long ath you like; I'm in no hurry.${prompt}";
And I don't mean any rare item. It hath to be thuper-duper rare. You know, like, overflowing with thpethial powerth. Thomething that lookth normal, but ith not... You know what I mean?${prompt};
I'm thorry I can't be clearer, but an adventurer of your caliber thould have no problem in finding what I'm talking about.${prompt};
"I'd like you to bring me thome rare itemth. You can take ath long ath you like; I'm in no hurry.${prompt}";
And I don't mean any rare item. It hath to be thuper-dee-duper rare. You know, like, overflowing with thpethial powerth. I think people call them â€œthuper-dee-duper, overflowing with thpethial power itemth.â€${prompt};
In cathe you've forgotten, here'th a litht of what you've brought me tho far.${prompt};
${lettercase: 1}${item-singular: 0[2]}.${prompt};
That'th a total of ${number: 1} thuper thpethial ${choice-plurality: 1}[item/itemth].${prompt};
I can't pay you until I have all the itemth I need, but I promithe that I'll give you your reward when I've completed my project. Croth my heart and hope to die. Tee-hee-hee!${prompt};
I thtill need you to bring more thuper-duper itemth before I can finith my project and furnith you with your jutht reward. Thavvy?${prompt};
Thuperb!;
I've never theen anything like it. The thuper thpethial power in thith ${item-singular: 0[2]} ith exactly what I needed!${prompt};
There'th got to be more itemth like thith hidden around Vana'diel!${prompt};
Boy, am I glad I athked you for help. Now I'm pothitive that you'll bring me everything I need!${prompt};
Eh, not another ${item-singular: 0[2]}...;
Thure, thith ith filled with thuper thpethial powerth, but you already brought me one...${prompt};
I'm thorry, but I can't take any more of thethe. But if you find anything juth ath thuper-duper, you know where to bring it!${prompt};
${lettercase: 1}${article} ${item-article: 0[2]}... Thith maketh theven thuper-duper, overflowing with thpethial power itemth.;
${name-player}, I'm ath giddy ath a thcoolgirl! Now I can begin my exthperimenth!${prompt};
Your reward? Keep your panth on, ${choice-player-gender}[mithter/mithy]. I'm going to need thome time. Jeuno wathn't built in a day, you know.;
Don't worry. You'll get your goodieth when I'm done.${prompt};
Keep your panth on, ${choice-player-gender}[mithter/mithy]. I'm going to need thome time. Jeuno wathn't built in a day, you know.${prompt};
I'm on the verge of a thpectacular find. Don't worry. You'll get your reward when I'm done.${prompt};
I wath wondering when you'd get back, ${name-player}. I've finally finithed my thethith! I'm ready to give you your jutht reward.${prompt};
But who would have thought that thuch powerful fortheth exthithted on Vana'diel. It maketh you wonder if the itemth are really even from thith world at all...${prompt};
The power in them ith almotht divine... Hey, where did you get thethe anyway?${prompt};
Oh, you don't have to anthwer, and I don't want to know anyway. The truth ith out there for you adventurerth to find. It ith of no matter to little old boyth like me. Tee-hee-hee!${prompt};
Here'th your reward--the thweet fruitth of my labor. You more than detherve it!${prompt};
Why, if it ithn't ${name-player}! Tho good of you to pay your old friend Mama a vith--;
What!? You went and mithplathed the prethiouth ring I gave you!? I...I can't believe I'm hearing thith...${prompt};
Why, I'm abtholutely thtruck thpeethleth that you would treat the token of my apprethiathion with thuch callouthneth.;
<Thigh>... What'th done ith done, I thuppothe. And the hangdog exthprethion you wear ith evidenthe enough of your remorthe.${prompt};
Being the kindly thoul that I am, I've dethided to give you another chanthe. Deliver me the thelfthame itemth ath latht time, and I thall whip up another ring for you. How doeth that thound, hmmm?${prompt};
Tho, what will it be?;
${selection-lines};
Perhapth another time.;
I'll do it!${prompt};
Very well, ${choice-player-gender}[mithter/mithy]. I thall await retheipt of the thuper thpethial itemth onthe more...jutht like the good old dayth! Tee-hee!${prompt};
There is nothing out of the ordinary here.${prompt};
You hear a voice from out of nowhere...${prompt};
You obtain ${number: 1} ${item-given-plurality: 1[2], 0[2]}!${prompt};
...;
At last we meet.${prompt};
I have been freed from my prison and can soak up the sweat and blood of this world once more.${prompt};
Wait, there is something I must...${prompt};
This place is...?${prompt};
I see...;
You must be the new wielder for these.${prompt};
Yes, with your fighting spirit I believe you will be able to master the ${item-singular: 0[2]}.${prompt};
The ${item-singular: 0[2]} have long accompanied me, along both rough and gentle paths. It is not easy to give them up, but...here.${prompt};
They belong to you now. I ask that you consider my...;
Ah, but that is past now. I bid you farewell....${prompt};
...${prompt};
I hope you don't think this is the end.${prompt};
Your real life as a martial artist is just beginning.;
Time to start your training anew!${prompt};
...;
Finally! We finally meet face to face!${prompt};
I have a presence in this world again!;
What an exhilarating feeling!${prompt};
Ah yes, there is one more thing...${prompt};
Eh? What?${prompt};
Oh.;
You must be this one's new owner.${prompt};
With your dagger skills, you'll make a perfect wielder for the ${item-singular: 0[2]}.${prompt};
It is most difficult to give up a weapon that has seen me through so many tight spots, but you have earned it.${prompt};
Treat her well...${prompt};
...${prompt};
Splendid!;
From this day forth, I belong to you.${prompt};
So, what kind of games shall we play?;
And where shall we go to play them?;
Who are we going to kill when we get there?;
It's all just too exciting...!${prompt};
...;
Thou hast found me.${prompt};
I have now thrice shown my true form in this world.${prompt};
A moment...${prompt};
...;
What has happened to me?${prompt};
I see, you are the sword's new owner?${prompt};
Well, this is most encouraging!;
A master of swordplay such as yourself should have no trouble wielding ${item-singular: 0[2]}.${prompt};
When the world lies in chaos, this blade appears before the one meant to wield it.;
It is yours...;
Restore order to Vana'diel!${prompt};
And now I, too, can rest unburdened...${prompt};
...${prompt};
Thou art blessed this day.${prompt};
Henceforth, I shall be thy blade.;
For the sake of thy companions, for justice in this world, wield my power in the name of honor...${prompt};
...;
You have found me.${prompt};
Allow me to show my respect.;
You who have gained the strength of so many must be a true hero.${prompt};
But first...${prompt};
Who are you?${prompt};
This must be some sort of joke.;
You are the new wielder of this weapon?${prompt};
Hmmm, perhaps I have misjudged you.;
With your level of skill, you may be able to handle this beastly blade, and have the will to control its awesome power.${prompt};
However, this is a magical blade. It is a sword that calls upon destruction. Its malice will gnaw away at your body and soul even as you topple enemies with its strength.${prompt};
Do not forget this truth! Keep it always in your mind.;
My regards go with you, stranger...${prompt};
...${prompt};
Now, my heroic master...${prompt};
For what purpose will you wield my power?;
The choices before you are without limit.;
Will you become the ruler of this world? Or perhaps...${prompt};
...;
You...me, meet.${prompt};
Me...free...;
Thanks to you. Me, your...${prompt};
Wait...${prompt};
What the...?${prompt};
Ah, now I see.;
The wheel has turned.${prompt};
Truthfully spoken, I am thankful.;
${lettercase: 1}${item-singular: 0[2]} is a splendid axe, but ever does it hunger.${prompt};
I have taken many lives to sate its need, and have reached the end of my strength.${prompt};
You have my gratitude.;
You have freed me from my nightmare, and now I can sleep with a tranquil spirit...${prompt};
...${prompt};
You, master, me.;
Good, work. Me, thank, you.${prompt};
Master, me, hunger.;
Go, hunt? Find, prey?;
Me, cut, flesh. Break, bone. Drink, blood.;
Master, me, hunger...${prompt};
...;
Ah, you found me!${prompt};
I have been freed from a world where life and death, reality and illusion are impossible to tell apart.;
I am truly grateful.${prompt};
One moment...${prompt};
...;
This is...Jeuno!?;
Have I finally returned?${prompt};
I... Nobody can see me.;
This is merely a reflection of reality.;
Which means you are the one to inherit the axe.${prompt};
Hmm. With your polished skills, you will make a fine master for ${item-singular: 0[2]}.${prompt};
The one who wields this axe must also be beautiful to look upon. Apparently, I was a suitable candidate. Do you not agree?${prompt};
Congratulations.;
I expect you to perform great deeds from this day onwards.;
I also ask that someday you use ${item-singular: 0[2]} to avenge the Hydra Corps...${prompt};
...${prompt};
I congratulate you also...my new master.${prompt};
Now hold me high and let my blade glint in the sunlight!;
Let your friends, as well as your enemies, feast upon my glorious beauty!${prompt};
...;
You have found me.${prompt};
My forbidden power is now yours, and I am liberated from my prison.${prompt};
You have but to gain her respect...${prompt};
Such a long dream I was having...${prompt};
It was a dream held captive by a shrouded world.;
No. I must accept that it was no dream.${prompt};
And you? Do you seek the same darkness that I did...;
It seems you have already found your way to ${item-singular: 0[2]}.${prompt};
Very well, I will pass it on to you.;
But do not forget how much blood your companions spilled in your search for its unholy strength.${prompt};
And think long and hard on whether or not this power should be used. Do not end up like me...${prompt};
...${prompt};
Heh. Heh heh.;
Hahahahahahaha!${prompt};
Well, my new master, is it not time to begin the journey for ever greater power?;
There are enemies yet to fell, and blood yet to spill...${prompt};
...;
You have unearthed me at last.${prompt};
I am free from Dynamis, free to fly through the heavens once more.${prompt};
All that remains is...${prompt};
Hello?;
Is it possible that I...${prompt};
But, no.;
I have not returned to this realm...;
You. You are to be my successor?${prompt};
You certainly seem to have the required skill with the lance. Enough to convince ${item-singular: 0[2]} to lend you its power, at any rate.${prompt};
Having this spear on the battlefield makes you a match for almost any opponent.${prompt};
Think well on what this means, and on how a weapon like this should be used.;
You have my admiration, adventurer. You have done well...${prompt};
...${prompt};
The ceremony of inheritance is complete.${prompt};
It is time for you to go forth and experience my overwhelming strength...${prompt};
...;
I have been rediscovered at last.${prompt};
Thanks to you, I have made my escape from the shrouded land.${prompt};
You must now gain the sanction of my master...${prompt};
It is a pity, indeed.${prompt};
This day has come far too soon for my liking.${prompt};
However, you are a master of the ninja trade.;
I concede that you will make a fitting wielder of the ${item-singular: 0[2]}.${prompt};
Take this blade as your own.;
Travel far down the path of the ninja.${prompt};
I will be watching you from the shadows...${prompt};
...${prompt};
A fine master...${prompt};
My keen edge is now yours to wield. A sharpness said to make even demons wail...${prompt};
...;
This day has finally come.${prompt};
I am to be released to this world for the first time in an age.;
Is this reason to celebrate, or despair...?${prompt};
In any event...${prompt};
What is going on here?${prompt};
Ah, my successor has come.${prompt};
I sought to master the way of the samurai, and traveled to the Far East for training. By the time I had gained the ${item-singular: 0[2]} and returned to my home, the Great War had begun.${prompt};
When I think on it, my life has been a long road of trials. But to see the arrival of my successor makes me feel that all has not been in vain.${prompt};
You have my gratitude.;
Farewell, ${item-singular: 0[2]}...${prompt};
...${prompt};
It has been a hard path to reach this point.${prompt};
But your journey in the way of the samurai has just begun.;
You have yet to attain perfection.;
Let us continue your training...${prompt};
...;
At long last, you have arrived.${prompt};
I was not convinced you were serious about completing this trial...${prompt};
You have proven me wrong...${prompt};
I have heard of your coming.${prompt};
You are to be the new master of this hammer of war?${prompt};
Every time ${item-singular: 0[2]} is reborn it gains a new wielder, who ultimately must pass it on to a successor.;
I have swung this hammer for more than eight hundred years. I never wished to part with it.${prompt};
However, there is little meaning in me keeping it now.;
If you will wield this weapon for a just cause, I hand its power over to you.${prompt};
Now, take the hammer and go!;
Just be careful with how you handle it.;
Do not let its might crush you as well...${prompt};
...${prompt};
My might is yours to wield.${prompt};
Go forth and experience the destructive power that laid low the Earth Serpent...${prompt};
...;
So, you have found me.${prompt};
I must give you my thanks.;
I have been freed from the hell of Dynamis and can regain my true power once again.${prompt};
And now...${prompt};
Hwaah!${prompt};
Just when I thought I had finally returned to this world, I find you standing here, ready to snatch my precious staff away.${prompt};
Well, it's for the best, I suppose.;
In my current state, ${item-singular: 0[2]} is nothing more than an ornament, its power going to waste.${prompt};
I entrust this staff to you!;
Take up ${item-singular: 0[2]}, ${name-player}, and bind it to you in a contract of blood!${prompt};
I take my leave of you now.;
I only wish that I was able to stay a little longer...${prompt};
...${prompt};
I am yours to wield.${prompt};
But you are not yet my master.;
By watching your actions from this time onwards, I will decide if you are worthy of the title...${prompt};
...;
You have discovered my resting place.${prompt};
The prison of souls has let loose its shackles, and I am free to loose arrows in this world once more.;
My thanks.${prompt};
Ah, one more test of your patience...${prompt};
Where is this place?${prompt};
Of course. How could I forget.;
I am Ghebben. I was entrusted with this bow by a warrior of the Far East.${prompt};
Your hands tell me that your skill in archery is far from ordinary.;
${item-singular: 0[2]} will fit snugly into your sure grasp.${prompt};
However, this bow belongs to Sir Nasu, the warrior of whom I spoke.;
You must remember that you are merely its keeper for a time.${prompt};
Farewell...${prompt};
...${prompt};
It is an honor to be owned by a just master.;
Sir Ghebben was a truly splendid archer.${prompt};
You are now the one to draw me in battle.;
I will be at your side on any road you choose to travel, along with the destructive power of my arrows.${prompt};
...;
We finally meet.${prompt};
I am now free from the pit of Dynamis to spit fire in this world once again.${prompt};
But I must ask you to wait before taking me into your possession...${prompt};
Why'd you have to go and wake me up? I was having the most relaxing sleep.;
Oh, this place looks familiar...${prompt};
Hm? You think you're the one who's going to take up my gun?${prompt};
You do seem to have a fair eye for marksmanship. And ${item-singular: 0[2]} would look perfect nestled in the crook of your arm...${prompt};
Well, I have no more use for this weapon, so I guess you can have it. But there is one thing I want you to remember.${prompt};
This gun is a fearsome weapon that unleashes a blast upon your enemies many thousands of times greater in strength than the tiny effort it takes you to pull the trigger. Needless to say, be careful who you aim it at...${prompt};
...${prompt};
A weapon has no will of its own. But it was made for a purpose.${prompt};
Take me to a new battlefield, a new arena for the hunt...${prompt};
...;
I am saved.${prompt};
Silenced for too long in the prison of Dynamis, I can once again let my brazen call echo through this land!${prompt};
A few more moments, if you please...${prompt};
Hello there.;
I am Terounalivet, a military musician of the Hydra Corps.${prompt};
You've never heard of me?;
Before joining the army I was quite the famous bard, mobbed by fans in every town I passed through.${prompt};
To be completely truthful, I am heartbroken to be giving up the ${item-singular: 0[2]}, the most famous of instruments, even to a fellow bard.${prompt};
But an instrument only shows its true worth when being played. This horn should be delighted to be passed on to such a talent as yourself.${prompt};
She has a capricious soul, but do treat her well. And do not forget that even without a raging battle, you can still play a tune for the simple enjoyment of those around you...${prompt};
...${prompt};
He was a wonderful performer.${prompt};
Let us be on our way.;
Our tour of the world has only just begun...${prompt};
You wanna talk to old Kamui?;
He doesn't have time to swap fishin' tales with every adventurer that wanders in from the jungle. Take a number, buddy.${prompt};
You wanna talk with old Kamui?;
I've got orders that he's not to be disturbed.;
Come back some other time.${prompt};
How'd you know to bring somethin' like this?;
Old Kamui just loves spicy foods.${prompt};
Wait here.;
I'll go get him for you.${prompt};
${name-player}, good vork on obtaining the ${item-singular: 1[2]} and the other foods.${prompt};
I vill listen to vhat this Kamui has to say along vith you.${prompt};
Sorry to keep you waiting.;
I was informed you brought me some tasty gifts.${prompt};
How did you come by these items? You must be involved in the Tavnazian affairs that Gilgamesh mentioned.${prompt};
In which case, I will give you my full cooperation.;
Tavnazia is my homeland. We lived in the Marquisate when Lugalbanda was our leader.${prompt};
You are from Tavnazia?;
Ve have come here from Kazham after consulting vith the former chieftainness, Romaa Mihgo.${prompt};
Ve vish to hear the tale about a glowing box.;
The chieftainness said that you mightaru know of such a story.${prompt};
You speak of the treasure of Tavnazia--the â€œbaptismal vesselâ€?${prompt};
Do you, too, seek the power of the magicite...?${prompt};
Magicite?;
No, ve did not come to ask about that cursed-vursed rock.${prompt};
Ve are looking for a crystal of darkness said to lie somevhere in the Northlands.;
Do you know anything of this legend?${prompt};
A crystal of darkness...;
This must be related to the tale of a soldier who found the baptismal vessel in those frozen lands.${prompt};
The story takes place in the time when King Ranperre ruled the Kingdom of San d'Oria...${prompt};
A horde of Orcs once sailed from the northern continent to attempt a landing on Quon.${prompt};
The Uleguerand Range, north of Xarcabard, would become the staging point for the Orcish campaign.${prompt};
To halt this invasion, the Tavnazian navy took to the seas while King Ranperre led an army overland...${prompt};
The snowy plains ran red with uncounted bloody skirmishes fought in the defense of Quon.${prompt};
In the midst of the vicious battle, a San d'Orian soldier slipped and fell into a crevasse.${prompt};
As he wandered in search of an exit from the winding tunnels, the soldier noticed an ephemeral voice calling to him.${prompt};
The soldier began walking in the direction of the voice, and eventually stumbled upon an unexpected sight. Right before him lay a frozen lake, glowing with an eerie light...${prompt};
And then vhat happened?${prompt};
It is said that the soldier was addressed by the voice of a god, but none know of the words that passed between them.${prompt};
The story ends with the soldier returning from the Northlands bearing a mysterious box. This box was to become a holy relic of the Tavnazian Cathedral.${prompt};
A frozen lake in the Uleguerand Range, beyond the land of Xarcabard...${prompt};
Now that I think about it, thirty years ago there was a Mithra who went in search of the lake after hearing this tale.;
She was unsuccessful.${prompt};
Apparently she joined an allied expedition for her journey to the Northlands...${prompt};
Yow Rabntah vas looking for the frozen lake!?${prompt};
Yes, but her experiences in that evil land twisted her soul.${prompt};
Her return to Kazham sparked an intertribal conflict that cost many Mithra their lives.${prompt};
After this incident, Romaa Mihgo became chieftainness, and her rule caused other problems between Kazham and Norg.;
But looking back, that was probably unavoidable.${prompt};
Ah, I've veered from our original discussion.${prompt};
No, not at all.;
This has been mostaru informative, thank you.${prompt};
According to Kamui's story, Yow Rabntah joined the allied expedition of her own free vill.${prompt};
Vas Romaa Mihgo not avare of this fact?${prompt};
Hmm.;
The Uleguerand Range is not a place to visitaru lightly.${prompt};
Let us call upon the Rhinostery adventurers in the Northlands for help!${prompt};
${name-player}, meet me at the tower on the Beaucedine Glacier vhere my Rhinostery peers are located.;
Until then!${prompt};
That Tarutaru you came with, he's an adventurer for the Rhinostery, right?${prompt};
He said somethin' about visiting a tower in Beaucedine.;
If they're lookin' to research the treasure that's supposed to be there, they're wastin' their time. It was stolen and sold off years ago.${prompt};
mes1${prompt};
Hey, look, it's a stinkin' adventurer!${prompt};
We're busy toastin' the end of a hard day's work, so why don't ya buzz off someplace?${prompt};
I bet ya never seen the likes o' this brew, have ya?${prompt};
This drop, matey, can only be found in the mysterious lands o' the Far East.${prompt};
Listen here, ${choice: 0}[lass/landlubber].;
We pirates got a powerful hate for so-called â€œheroesâ€ like you.${prompt};
Anyone who's never braved the high seas fer battle and booty is still just a whimpering puppy to a pirate.${prompt};
Oho, so's ya got something to say about that, have ya?;
A challenge, then. If ya can bring a treasure ta brighten a pirate's jaded eye, then ya might find a seat at our table.${prompt};
Arrgh, not that we're expectin' much from a whelp like you!${prompt};
Sohyon used to have one of them talkin' birds that perched on his shoulder.;
Maybe ya could get us one of those?${prompt};
Or maybe ya could grow yerself a bushy red beard.;
That'd impress me.${prompt};
Ahahaha!;
That might be askin' a bit too much, eh?${prompt};
I tell ya what.;
If ya can bring a drink that warms me pirate's soul, I'll give ya one of whatever there is to be found in Norg.${prompt};
Arrgh, now there's a deal!${prompt};
How about introducin' him to that young lass that wandered in a little while back?${prompt};
Hold on there, ya mangy backstabber!;
I had me eye on that one!${prompt};
How about introducin' her to one o' the pair that wandered in a little while back?${prompt};
Yeah, that ought to keep her outta our hair.${prompt};
Just remember, I saw the other one first.${prompt};
Enough blathering, ya scurvy dogs.;
Ya know what ya have ta do, adventurer.${prompt};
I'll be waitin' right here with me empty cup.;
Heh-heh-heh.${prompt};
Sohyon's drunk pretty much all there is to drink.;
Good luck findin' somethin' to satisfy 'im.${prompt};
Arrgh, let's see what yer made of, adventurer.${prompt};
Me cup's still empty, adventurer.${prompt};
Those boys ain't gonna be satisfied, no matter what you bring.;
Yer better off just goin' on yer way.${prompt};
Here, take this flask.${prompt};
Fill it from the four big clams in the Korroloka Tunnel.;
We'll see who has the last laugh...${prompt};
Good work. Now hand it over to Sohyon.${prompt};
Arrgh, ya kept me waitin' fer long enough.;
Here's ta ya health!${prompt};
Urgh!;
This is plain water! What kinda dirty trick are ya tryin' ta pull?${prompt};
You've poured so many liquids down your throat, you probably can't tell a fine beverage from barrel swill anymore.${prompt};
Wash your mouth out with that and give yourself a break for a while!${prompt};
Are ya tryin' to tell me how ta drink?;
I don't need yer stinkin' advice!${prompt};
Your tongue must be rotten, Sohyon.${prompt};
That liquid is the most refreshing, revitalizing water in Vana'diel.${prompt};
It comes from the giant clams in the Korroloka Tunnel. If you spent a moment savoring the taste, you'd realize it's more than just ordinary water.${prompt};
...${prompt};
Well, I guess ya kept yer end of the bargain.${prompt};
Take this key to Gimb, the Galka who stands near the entry gate. He'll take care o' ya.${prompt};
Get outta here.;
I got no time fer scabby adventurers.${prompt};
Yer here to meet the ${choice: 0}[lad/lass] from the couple that blew in a while back?${prompt};
Hang around here a bit.${prompt};
Hmmm.;
I can't find the girl.;
Where could she have gone?${prompt};
Thank you for coming!;
You're a life saver, kupopo!${prompt};
Just a moment, now.;
Where's that dreamy-looking girl got to?${prompt};
Sanctia? Oh, she left ages and ages ago, kupopo.${prompt};
I gave her some ${item-plural: 1[2]} and she let me have her dinner, kupopo.${prompt};
Sanctia dreams of becoming a fearsome bounty hunter, kupopo!${prompt};
Hold on there, buddy.;
Does she really mean to find Goldmane, the legendary bounty hunter?${prompt};
He's the guy that collared the infamous Atarefaunet.${prompt};
I heard he scored a mountain of gil for that job, but the rest of Atarefaunet's Band is still thirsting for his blood.${prompt};
The rumors say Goldmane went into hiding after the gang came after him.${prompt};
Yeah, and if he's still breathing, it means those vicious thugs haven't found him yet.${prompt};
A guy who can give that lot the runaround is never gonna be found by a clueless puppy like Sanctia.${prompt};
And if her search for Goldmane becomes noticeable, it will draw the attention of Atarefaunet's Band.${prompt};
The idea was to make her cool her heels in Norg for a while, and then have Gilgamesh explain the big holes in her plan.${prompt};
But this is terrible, kupopo!${prompt};
Sanctia said she was going to Bastok, kupopo!${prompt};
Don't tell me she stowed away on the ship headed for Bastok?${prompt};
Captain Chieka is known among pirates as the â€œShe-Devil of the Sea.â€${prompt};
If Chieka finds her, Sanctia'll be tossed into the ocean for sure.${prompt};
We can't let that happen, kupopo!${prompt};
Wha-! Dammit!;
There goes the other one!${prompt};
Jus' seein' yer ugly mug makes me brew go sour.;
Ya done what ya come to do, now clear off!${prompt};
Even Sohyon can't win against the likes o' Washu.;
They didn't put her in charge o' Norg's galley fer nothing.${prompt};
Getting on Washu's bad side is more trouble than it's worth.;
You'd do well to remember that, adventurer.${prompt};
Where could 'e be...?;
Knowing him, 'e should be...${prompt};
Oh, sorry there. Just talkin' to meself.${prompt};
......${prompt};
That rat...;
Where could he 'ave gotten off to...?${prompt};
I've got me a bad feeling about this...;
It brings back unpleasant memories, it does...${prompt};
...Eh? You say you're an adventurer, do ya?;
Say, could I take a bit o' your time?;
I've got me a slight problem, you see.${prompt};
My mate Gubokka's gone down by 'imself to the Sea Serpent Grotto.${prompt};
We've always capered around that place like a blinkin' playground, so he shouldn't be gettin' himself lost.${prompt};
I haven't seen the little git's face once since his decidin' t' set off.${prompt};
Lately the people of Norg're up in arms due to all the monsters showin' up in the grotto.${prompt};
I told that nitwit Gubokka t' be careful, but still...${prompt};
I wanna go and check on the poor runt, but goin' alone into that monster-infested hole is just askin' for more trouble.${prompt};
That's where you come in.;
Think ya could go t' Sea Serpent Grotto and find Gubokka for me?${prompt};
I really need yer 'elp.${prompt};
You'll do it!?;
Why, thank ya! O' course, you'll be rewarded as handsomely as I can do for ya.${prompt};
Anyway, just keep a sharp eye out down there.;
I'd be in a real pickle if I lost the both of ya t' some grim fate.${prompt};
I've heard the monsters out there are no laughin' matter, so please be takin' care of yerself.${prompt};
...<pant>...<gasp>...;
...I...I'm...safe...?${prompt};
...<pant>...<wheeze>...whew.${prompt};
Gubokka!!!${prompt};
Stray Cloud!;
I...I'm sorry. I...${prompt};
Bloody hell! You okay!?;
What in blazes happened out there? Can ya speak?${prompt};
...I...I'm fine.;
<gasp>...<pant>...${prompt};
Stray Cloud...I'm sure you know how everyone's worried about the beasts that have been appearing in the grotto lately...${prompt};
I thought I could do something about it... That's why I left. I wanted to defeat the monsters for the people of Norg.${prompt};
But I ended up lost in the caves that I'd walked through for years. Pathetic, I know.${prompt};
Swallowing my pride, I turned back and desperately began my search for the way home...${prompt};
...That was when it happened.${prompt};
All of a sudden, a monster jumped out from the shadows and began attacking me.${prompt};
It was unbelievably powerful. I knew I was no match for it.${prompt};
